State,Year,TotalCrime,Assault Crime,Property Crime,Population
Johor,2022,4462,973,3489,4028.3
Kedah,2022,4651,893,3758,2163.1
Kelantan,2022,2206,448,1758,1830.6
Melaka,2022,1297,264,1033,1008.6
Negeri Sembilan,2022,1784,380,1404,1207.9
Pahang,2022,1884,395,1489,1614.3
Perak,2022,3260,770,2490,2514.4
Perlis,2022,402,82,320,289.8
Pulau Pinang,2022,3463,947,2516,1740.9
Sabah,2022,4101,516,3585,3414.9
Sarawak,2022,3887,588,3299,2473.5
Selangor,2022,13025,2820,10205,7050.3
Terengganu,2022,1477,223,1254,1186.6
Kuala Lumpur,2022,4914,1049,3865,1961.2
Putrajaya,2022,13025,2820,10205,7050.3
Labuan,2022,13025,2820,10205,7050.3
